year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2018	11	16	Liechtenstein	Macedonia	0	2	END		-11	1125	1514	−1	+1	174	78
2018	11	19	Macedonia	Gibraltar	4	0	END		4	1518	1102	0	0	80	175
2019	03	21	North Macedonia	Latvia	3	1	EQ		8	1526	1290	+2	−4	75	140
2019	03	24	Slovenia	North Macedonia	1	1	EQ		-8	1559	1534	−3	+4	67	72
2019	06	07	North Macedonia	Poland	0	1	EQ		-12	1522	1791	−4	+2	77	23
2019	06	10	North Macedonia	Austria	1	4	EQ		-26	1496	1736	−6	+2	82	37
2019	09	05	Israel	North Macedonia	1	1	EQ		-10	1587	1506	−1	+5	58	78
2019	09	09	Latvia	North Macedonia	0	2	EQ		-17	1230	1523	−1	+5	149	74
2019	10	10	North Macedonia	Slovenia	2	1	EQ		20	1543	1606	+5	−3	70	56
2019	10	13	Poland	North Macedonia	2	0	EQ		8	1769	1535	0	−2	28	72
2019	11	16	Austria	North Macedonia	2	1	EQ		5	1778	1530	0	0	25	71
2019	11	19	North Macedonia	Israel	1	0	EQ		16	1546	1538	+4	−2	69	70
2020	09	05	North Macedonia	Armenia	2	1	ENC		10	1556	1440	+2	−1	69	95
2020	09	08	Georgia	North Macedonia	1	1	ENC		-6	1564	1562	−2	+1	66	67
2020	10	08	North Macedonia	Kosovo	2	1	EQ		12	1574	1512	+1	−2	65	79
2020	10	11	Estonia	North Macedonia	3	3	ENC		6	1378	1568	+3	0	109	65
2020	10	14	North Macedonia	Georgia	1	1	ENC		-6	1562	1575	−1	0	67	65
2020	11	12	Georgia	North Macedonia	0	1	EQ		-26	1549	1588	−6	+6	71	61
2020	11	15	North Macedonia	Estonia	2	1	ENC		6	1594	1370	+2	0	59	110
2020	11	18	Armenia	North Macedonia	1	0	ENC	CY	25	1522	1569	+5	−5	75	66
2021	03	25	Romania	North Macedonia	3	2	WQ		10	1676	1559	+1	−3	42	68
2021	03	28	North Macedonia	Liechtenstein	5	0	WQ		3	1562	1106	+1	−1	67	179
2021	03	31	Germany	North Macedonia	1	2	WQ		-38	1933	1600	−4	+6	12	59
2021	06	01	North Macedonia	Slovenia	1	1	F		-2	1598	1616	−1	0	59	53
2021	06	04	North Macedonia	Kazakhstan	4	0	F		4	1602	1347	0	−3	59	125
2021	06	13	Austria	North Macedonia	3	1	EC	RO	23	1769	1579	+5	−4	29	64
2021	06	17	Ukraine	North Macedonia	2	1	EC	RO	11	1815	1568	+1	−1	20	65
2021	06	21	Netherlands	North Macedonia	3	0	EC		5	1976	1563	0	−2	8	67
2021	09	02	North Macedonia	Armenia	0	0	WQ		-5	1558	1588	0	+1	68	62
2021	09	05	Iceland	North Macedonia	2	2	WQ		-6	1568	1564	−3	−1	68	69
2021	09	08	North Macedonia	Romania	0	0	WQ		0	1564	1667	+2	−1	66	47
2021	10	08	Liechtenstein	North Macedonia	0	4	WQ		-9	1100	1573	0	+5	179	63
2021	10	11	North Macedonia	Germany	0	4	WQ		-13	1560	1954	−4	0	69	10
2021	11	11	Armenia	North Macedonia	0	5	WQ		-51	1506	1611	−12	+9	81	59
2021	11	14	North Macedonia	Iceland	3	1	WQ		18	1629	1545	+5	−3	54	71
2022	03	24	Italy	North Macedonia	0	1	WQ		-38	1992	1667	0	+5	7	49
2022	03	29	Portugal	North Macedonia	2	0	WQ		5	1984	1662	0	−2	8	51
2022	06	02	Bulgaria	North Macedonia	1	1	ENC		3	1514	1659	0	0	78	51
2022	06	05	Gibraltar	North Macedonia	0	2	ENC		-3	1044	1662	0	0	184	51
2022	06	09	North Macedonia	Georgia	0	3	ENC		-50	1612	1658	−11	+13	60	48
2022	06	12	North Macedonia	Gibraltar	4	0	ENC		2	1614	1057	0	0	62	183
2022	09	23	Georgia	North Macedonia	2	0	ENC		19	1663	1595	+2	−1	48	61
